timestamp,robot,sim_env,test_id,navigation_time_sec,avg_cpu_usage,avg_gpu_usage,avg_rtf
2025-06-01 19:43:27,novamob,gazebo_fortress,1,174.57,35.66,36.08,0.6288
2025-06-01 19:47:33,novamob,gazebo_fortress,2,179.27,37.77,35.97,0.6036
2025-06-01 19:51:46,novamob,gazebo_fortress,3,181.06,37.97,35.24,0.6028
2025-06-01 19:59:48,novamob,gazebo_fortress,4,174.12,34.75,37.21,0.6264
2025-06-01 20:03:44,novamob,gazebo_fortress,5,180.52,38.0,35.45,0.5959
2025-06-01 20:09:55,novamob,gazebo_fortress,6,179.83,37.73,35.62,0.6019
2025-06-01 20:15:44,novamob,gazebo_fortress,7,180.49,37.98,35.24,0.5981
2025-06-01 20:19:41,novamob,gazebo_fortress,8,178.02,38.09,35.72,0.602
2025-06-01 20:26:25,novamob,gazebo_fortress,9,164.91,36.51,36.04,0.6425
2025-06-01 20:30:22,novamob,gazebo_fortress,10,181.01,39.07,35.54,0.6054
