timestamp,robot,sim_env,test_id,navigation_time_sec,avg_cpu_usage,avg_gpu_usage,avg_rtf
2025-06-19 17:13:15,novamob_unoptimized,gazebo_fortress,1,233.59,46.82,42.85,0.4705
2025-06-19 17:26:40,novamob_unoptimized,gazebo_fortress,2,232.16,46.31,42.84,0.4684
2025-06-19 17:38:58,novamob_unoptimized,gazebo_fortress,3,234.89,45.92,43.03,0.4697
2025-06-19 18:16:33,novamob_unoptimized,gazebo_fortress,4,227.73,46.05,43.42,0.486
2025-06-19 18:25:06,novamob_unoptimized,gazebo_fortress,5,232.93,47.48,43.15,0.4616
2025-06-19 18:36:13,novamob_unoptimized,gazebo_fortress,6,235.07,45.52,42.64,0.4703
2025-06-19 18:47:51,novamob_unoptimized,gazebo_fortress,7,235.29,47.04,43.15,0.4635
2025-06-19 19:08:09,novamob_unoptimized,gazebo_fortress,8,227.66,41.89,43.09,0.482
2025-06-19 19:19:22,novamob_unoptimized,gazebo_fortress,9,219.32,42.58,43.82,0.4987
2025-06-19 19:35:40,novamob_unoptimized,gazebo_fortress,10,228.23,45.35,42.96,0.4819
