timestamp,robot,sim_env,test_id,navigation_time_sec,avg_cpu_usage,avg_gpu_usage,avg_rtf
2025-06-19 17:13:15,novamob_unoptimized,gazebo_fortress,1,163.51,26.69,28.71,0.6602
2025-06-19 17:26:40,novamob_unoptimized,gazebo_fortress,2,162.51,26.40,28.70,0.6574
2025-06-19 17:38:58,novamob_unoptimized,gazebo_fortress,3,164.42,26.17,28.83,0.6596
2025-06-19 18:16:33,novamob_unoptimized,gazebo_fortress,4,159.41,26.25,29.09,0.6705
2025-06-19 18:25:06,novamob_unoptimized,gazebo_fortress,5,162.91,27.06,28.91,0.6539
2025-06-19 18:36:13,novamob_unoptimized,gazebo_fortress,6,164.55,25.95,28.57,0.6593
2025-06-19 18:47:51,novamob_unoptimized,gazebo_fortress,7,164.70,26.82,28.91,0.6557
2025-06-19 19:08:09,novamob_unoptimized,gazebo_fortress,8,159.36,23.88,28.87,0.6693
2025-06-19 19:19:22,novamob_unoptimized,gazebo_fortress,9,153.52,24.27,29.36,0.6851
2025-06-19 19:35:40,novamob_unoptimized,gazebo_fortress,10,159.76,25.85,28.79,0.6687
2025-06-19 20:00:44,novamob_unoptimized,gazebo_fortress,11,161.75,26.11,28.88,0.6600
