timestamp,robot,sim_env,test_id,navigation_time_sec,avg_cpu_usage,avg_gpu_usage,avg_rtf
2025-05-30 17:26:50,scout,gazebo_classic,1,116.62,7.96,27.44,0.9998
2025-05-30 17:34:57,scout,gazebo_classic,2,123.22,7.9,29.85,0.9996
2025-05-30 17:38:04,scout,gazebo_classic,3,129.54,8.25,42.69,0.9998
2025-05-30 17:43:09,scout,gazebo_classic,4,159.4,8.29,29.41,0.9998
2025-05-30 17:46:25,scout,gazebo_classic,5,129.94,9.77,36.47,0.9997
2025-05-30 17:50:30,scout,gazebo_classic,6,135.88,8.45,33.72,0.9997
2025-05-30 17:54:42,scout,gazebo_classic,7,141.33,8.62,35.89,0.9999
2025-05-30 17:59:01,scout,gazebo_classic,8,148.26,9.01,38.15,0.9996
2025-05-30 18:03:19,scout,gazebo_classic,9,138.77,8.89,34.22,0.9998
2025-05-30 18:07:28,scout,gazebo_classic,10,144.52,8.73,37.01,0.9997
