timestamp,robot,sim_env,test_id,navigation_time_sec,avg_cpu_usage,avg_gpu_usage,avg_rtf
2025-05-30 17:51:31,scout,gazebo_classic,1,112.27,7.91,36.15,1.0
2025-05-30 18:00:41,scout,gazebo_classic,2,123.44,7.53,35.73,1.0
2025-05-30 18:03:23,scout,gazebo_classic,3,123.68,7.78,38.08,1.0
2025-05-30 18:07:11,scout,gazebo_classic,4,109.99,8.83,40.69,1.0
2025-05-30 18:11:45,scout,gazebo_classic,5,117.36,7.97,39.22,1.0
2025-05-30 18:16:23,scout,gazebo_classic,6,121.82,8.01,37.94,1.0
2025-05-30 18:20:59,scout,gazebo_classic,7,119.47,7.76,38.65,1.0
2025-05-30 18:25:32,scout,gazebo_classic,8,124.21,7.84,36.02,1.0
2025-05-30 18:30:07,scout,gazebo_classic,9,115.93,8.19,39.87,1.0
2025-05-30 18:34:39,scout,gazebo_classic,10,122.06,7.92,37.45,1.0
