timestamp,robot,sim_env,test_id,navigation_time_sec,avg_cpu_usage,avg_gpu_usage,avg_rtf
2025-05-29 12:17:12,scout,gazebo_fortress,1,96.04,17.83,29.58,0.9702
2025-05-29 12:19:49,scout,gazebo_fortress,2,96.37,17.2,28.13,0.971
2025-05-29 15:47:56,scout,gazebo_fortress,3,99.27,16.95,25.04,0.9723
2025-05-29 15:51:26,scout,gazebo_fortress,4,98.37,17.73,33.33,0.9677
2025-05-30 14:09:56,scout,gazebo_fortress,5,97.13,17.81,30.85,0.9692
2025-05-30 14:58:00,scout,gazebo_fortress,6,100.35,19.03,42.05,0.9597
2025-05-30 15:00:41,scout,gazebo_fortress,7,105.79,20.47,42.26,0.9629
2025-05-30 15:03:13,scout,gazebo_fortress,8,96.86,17.62,32.21,0.9681
2025-05-30 15:06:06,scout,gazebo_fortress,9,115.01,17.77,26.39,0.9725
2025-05-30 15:08:30,scout,gazebo_fortress,10,96.98,17.48,29.24,0.9703
2025-05-30 18:32:46,scout,gazebo_fortress,11,102.03,37.32,28.72,0.9293
