timestamp,robot,sim_env,test_id,navigation_time_sec,avg_cpu_usage,avg_gpu_usage,avg_rtf
2025-06-01 20:34:48,scout,gazebo_fortress,1,155.95,37.67,34.91,0.6107
2025-06-01 20:39:10,scout,gazebo_fortress,2,158.46,37.58,34.57,0.5938
2025-06-01 21:21:58,scout,gazebo_fortress,3,125.59,35.6,35.21,0.7638
2025-06-01 21:26:15,scout,gazebo_fortress,4,157.35,38.18,34.8,0.5994
2025-06-01 21:51:14,scout,gazebo_fortress,5,138.69,36.17,35.85,0.7065
2025-06-01 21:55:06,scout,gazebo_fortress,6,163.91,41.06,35.01,0.5735
2025-06-01 21:59:17,scout,gazebo_fortress,7,159.35,39.21,34.52,0.5932
2025-06-01 22:17:56,scout,gazebo_fortress,8,141.29,37.29,34.89,0.685
2025-06-01 22:23:24,scout,gazebo_fortress,9,158.92,39.07,34.66,0.5978
2025-06-01 22:29:30,scout,gazebo_fortress,10,157.27,38.15,34.62,0.6034
